songID|songName|songLyric|Author
56139|NGÃ TƯ ĐƯỜNG|Ngã tư đường mình gặp lại nhau, vẫn ánh mắt ta nhìn nhau ngày nào...|Khắc Việt
54970|ĐIỀU ƯỚC GIẢN ĐƠN|Những lúc em buồn, anh đến bên cạnh muốn cho em bờ vai...|Nguyễn Hồng Thuận
57898|NƠI ANH KHÔNG THUỘC VỀ|Kỉ niệm qua khiến tim nhạt nhòa Một người đau, một người bỏ...|Nhạc: Only C Lời: Kay Jong
52017|EM SẼ LÀ NGƯỜI RA ĐI|Yêu nhau cho nhau từng nụ hôn, nồng ấm ân ái hôm nào…|Thái Khang
55816|CHỜ EM TRONG ĐÊM|Một mình anh trong đêm thâu, ngắm bầu trời lung linh ánh sao…|Khắc Việt
52363|EM GÁI QUÊ|Từ ngày rời làng quê, xa thôn làng đến nơi đô thành...|Hồng Xương Long
56862|TÌM EM|Em như tia nắng ban mai mùa xuân, tôi như bóng tối...|Minh Vy
57577|KHI NGƯỜI LỚN CÔ ĐƠN|Thành phố bé thế thôi mà tìm hoài chẳng được|Phạm Hồng Phước
54605|TÚP LỀU LÝ TƯỞNG|Từ ngày hai đứa yêu nhau mộng ước thật nhiều, từ ngày hai đứa...|Hoàng Thi Thơ
55439|TÌNH YÊU HOA GIÓ|Ngồi bên hiên ngắm lá rơi nhìn nụ hoa đã phai sắc màu...|Nguyễn Hồng Thuận
52691|TỘI TÌNH|Sao anh bỏ ra đi, em nào có tội tình gì, sao anh…|Hàn Châu
55621|MẸ YÊU|Bước trăng giếng trở về trời, am mây chưa thức nỗi đời quạnh hiu...|Tiến Luân
52028|HÁT VỀ CÂY LÚA HÔM NAY|Tôi hát bài ca ngợi ca cây lúa và người trồng lúa cho...|Hoàng Vân
58210|VẾT MƯA|Cơn mưa, đã xoá hết những ngày yêu qua Chỉ còn mình anh...|Vũ Cát Tường
50475|NGƯỜI TÌNH MÙA ĐÔNG|Đường vào tim em ôi băng giá…|Nhạc Hoa
59775|EM LÀ CỦA ANH|Ánh mắt yêu thương ta trao phút giây ban đầu Cảm giác yêu...|Hồ Việt Trung
58747|BA KỂ CON NGHE|Khi xưa ba bé hơn đàn Nghe guitar rung lên không bao giờ...|Nguyễn Hải Phong
55829|ĐỂ NHỚ MỘT THỜI TA ĐÃ YÊU|Hạnh phúc trong tầm với, đã không còn tới khi vắng anh trong đời…|Thái Thịnh
52791|MUỘN MÀNG|Em xin yêu anh trong giấc mơ, dẫu cho anh trao em…|Nguyễn Nhất Huy
55631|NỤ CƯỜI BIỆT LY|Giờ chia tay lần cuối gượng cười, mà nghe tim đớn đau, rã rời...|Ngọc Sơn
58554|NỖI ĐAU XÓT XA|Từng ngày qua trong lòng anh vẫn như mơ Một giấc mơ luôn...|Lương Duy Thắng
53464|NGƯỜI ĐẾN SAU|Mình gặp nhau quen nhau làm chi hỡi anh, để giờ đây...|Minh Vy
57467|BỨC TRANH TỪ NƯỚC MẮT|Chuyện hai chúng ta bây giờ khác rồi|Mr. Siro
50487|THẤT TÌNH|Hỡi người yêu trái tim anh...|Nhạc Hoa
52417|TAXI|Anh không cần em để cho mắt môi em buồn…|Sĩ Luân
52116|VÓ NGỰA TRÊN ĐỒI CỎ NON|Em dấu yêu ơi anh đang quay về mười năm xa vắng…|Giao Tiên
52358|ĐƯỜNG TÌNH ĐÔI NGẢ|Thôi em hãy đi về, vĩnh biệt kể từ đây…|Lê Văn Thiện
53634|TÌM LẠI|Chẳng muốn nghe gì chẳng muốn tìm ra đôi mắt luôn tìm tìm về…|Microwave
57912|QUÀ CHO ANH|Những món quà nhỏ bé chứa những điều hạnh phúc, Mà em cố...|Nguyễn Văn Chung
57528|ĐỢI EM TRONG MƠ|Sao em cứ lặng lẽ đi cho tình tôi nhức nhối|Ngọc Sơn
50936|THƯƠNG NHAU LÝ TƠ HỒNG|Từ miền Nam anh ngược…|Trương Quang Tuấn
57901|NƠI TÌNH YÊU KẾT THÚC|Người yêu ơi.....ngoài kia mùa đông đã rơi Lạnh không em.....lẻ loi bàn...|Tiến Minh
53895|LỜI NGUYỀN|Lời thề ước anh đã trao cho em, vầng trăng ánh sao...|Minh Khang
58128|HẠNH PHÚC ĐÓ EM KHÔNG CÓ|Lời xin lỗi vì đã lừa dối, ước gì mình nằm mơ...|Đỗ Phương
58399|BỐN CHỮ LẮM|Yêu là đau, thương là đau sao? Chờ mong người đi về...|Phạm Toàn Thắng
55850|HẠNH PHÚC ĐƠN SƠ 2|Ngày mình yêu nhau hai bàn tay trắng cơ hàn…|Mạnh Quỳnh
58501|LẮNG NGHE TIM EM|Hãy đến gần em, cầm tay trao nụ hôn Để cho anh cảm...|Phạm Hoàng Duy
52738|DƯỜNG NHƯ TA ĐÃ|Mây buồn trôi mãi, trôi về nơi xa, mây cũng tiếc nuối…|Mỹ Tâm
51343|ĐỔI THAY|Hãy thắp ánh sáng trong hồn tôi…|Kim Tuấn
